authority_code,statutory_ref,act_treaty,entry_class
"285011","","NA","Row-Pwr Line Reconveyed"
"285099","","NA","To Be Defined"
"285110","","NA","Row-Reclamation Project"
"285130","","NA","Row-Boulder Can Proj"
"286001","","NA","Row-Comm Site, Flpma"
"286003","","NA","Row-Comm Site,acq"
"286005","","NA","Row-Comm Site, 1911"
"286007","","NA","Row-Comm Site Fed Fac"
"286008","","NA","Row-Comm Site 44ld513"
"286009","","NA","Unauth Act-Row-comm Site"
"286011","","NA","Row-Comm Site Reconveyed"
"286099","","NA","To Be Defined"
"286100","","NA","Row-Radio & Tv Sites"
"286200","","NA","Row-Telephone-telegraph"
"286202","","NA","Row-Telephone-telegraph"
"286203","","NA","Row-Tel & Teleg,flpma"
"286205","","NA","Row-Tel & Teleg, Acq"
"286207","","NA","Row-Tel & Teleg Fed Fac"
"286208","","NA","Row-Tel & Teleg 44ld513"
"286209","","NA","Unauth Act-Row-tel&teleg"
"286211","","NA","Row- Tele & Teleg RecNV"
"287001","","NA","RowWater Facility"
"287003","","NA","RowWater Fac, Acq"
"287007","","NA","RowWater Facility Fed"
"287008","","NA","RowWater Fac44ld513"
"287009","","NA","Unauth Act-RowWater Fac"
"287011","","NA","RowWater Fac Reconveyed"
"287099","","NA","To Be Defined"
"287100","","NA","Row-Irrigation Fac"
"287101","","NA","Row-Irrigation Dist"
"287111","","NA","Row-Irrigation Fac RecNV"
"287200","","NA","Row-Livestock Water Fac"
"287300","","NA","RowWater Plants"
"287400","","NA","D/C Exist Prior To Flpma"
"287500","26 Stat. 391","August 30, 1890","D/C Exercise Of Right to"
"288001","","NA","Row-Pipeline-other"
"288004","","NA","Row-Trans Solid"
"288005","","NA","Row-Pipeline, Acq"
"288009","","NA","Unauth Use Pipeline/fac"
"288011","","NA","Row-Min Lse Purpos RecNV"
"288099","","NA","To Be Defined"
"288100","","NA","Row-O&g Pipelines"
"288101","","NA","Row-O&g Facility Sites"
"288102","","NA","Unauth Act-O&g Ppln/fac"
"288103","","NA","Row-Salt Wtr Disp-mla"
"288104","","NA","Row-Salt Wtr Disp-FLPMA"
"288105","","NA","Unauth Row-Salt Wtr Disp"
"288111","","NA","Row-O&g Ppln/fac RecNV"
"288150","","NA","Row-AK Gas Pipeline"
"288151","","NA","AK Gas Pipeline Tup"
"288401","","NA","Row-Npr-a"
"289001","","NA","Row-Other-FLPMA"
"289003","","NA","Row-Misc-iRR Project"
"289004","","NA","Row-Misc & Special"
"289007","","NA","Row-Other Federal Fac"
"289008","","NA","Row-Other Fed 44ld513"
"289009","","NA","Unauth Act -Row-other"
"289011","","NA","Row-Other Reconveyed"
"289099","","NA","To Be Defined"
"289100","","NA","Row-Forest Land"
"289101","","NA","Row-FS Easement Grant"
"289102","","NA","Row-FS Constr Rds-trails"
"289103","","NA","Row-FS"
"289104","","NA","Row-FS"
"289105","","NA","Row-FS Spec Use Permits"
"289106","","NA","Row-FS Flpma Easement"
"289107","","NA","Row-FS Other Fed Agency"
"289111","","NA","Row-FS Reconveyed"
"289150","","NA","Row-Issued By Mil Dept"
"289160","","NA","Row-Issued By AEC"
"289200","","NA","Row-Acq Land-real Prop"
"289600","","NA","Row-Trans AK Pipeline"
"289601","","NA","Row-Access Road-Alaska"
"289602","","NA","Row-Haul Road-Alaska"
"289608","","NA","Row-Pump Station Perm-AK"
"289610","","NA","Row-Mech Refrig Perm-AK"
"289612","","NA","Row-Pump Stacom Perm-AK"
"289614","","NA","Row-Basic Comms Perm-AK"
"289615","","NA","Row-Basic Comms Temp-AK"
"289616","","NA","Remote Con Bl V Com S P"
"289617","","NA","Remote Con Bl V Com S T"
"289618","","NA","Row-Ersn Constr Perm-AK"
"289619","","NA","Row-Ersn Constr Temp-AK"
"289620","","NA","RowCAmp/comms Perm-AK"
"289621","","NA","RowCAmp/comms Temp-AK"
"289622","","NA","Remote Con Bl V Equip-AK"
"289623","","NA","Remote Con Bl Y Equip-AK"
"289624","","NA","Trans-AK P/l Tup (taps)"
"289701","","NA","Row-Natural Gas P/l-AK"
"289702","","NA","Tup-Natural Gas P/l-AK"
"289800","","NA","AK P/l Row"
"289801","","NA","Tags - AK Tup"
"289900","","NA","Denali-AK P/l Row"
"289902","","NA","Denali-AK P/l Tup"
"290011","","NA","Occupancy Permit-Special"
"290099","","NA","To Be Defined"
"291100","45 Stat. 728","May 24, 1928","Airport Leases"
"291101","","NA","Airport Lse Pipeline-AK"
"291200","44 Stat. 747","June 14, 1926","R And Pp Lease"
"291300","52 Stat. 609","June 1, 1938","Small Tract Leases"
"291400","","NA","Mcoa-Lease"
"291600","","NA","Fur Farm Leases-Alaska"
"292001","","NA","Slup Pipeline-AK"
"292003","","NA","Helicoptor Site-AK"
"292004","","NA","Pipe Storage Temp-AK"
"292005","","NA","Material Storage Temp-AK"
"292006","","NA","Permits Sec 302  Flpma"
"292007","","NA","BIA School Leases-AK"
"292008","","NA","Permits Sec 1303 Anilca"
"292020","","NA","Leases Sec 302  Flpma"
"292030","","NA","Easement Sec 302  Flpma"
"292040","","NA","Public Works"
"292100","","NA","Advrtsng Pmt Pre-FLPMA"
"292200","","NA","Water Wells Pre-FLPMA"
"292300","","NA","Comm Facility Pre-FLPMA"
"292400","","NA","Sports Event Pre-FLPMA"
"292500","","NA","Esmt-DOI To Fed Agency"
"292601","","NA","Recl Lse, Lic & Ded"
"292602","","NA","Reconveyed Permit/lease"
"292801","","NA","UnauthOrizedUS e"
"292802","","NA","UnauthOrized Development"
"292803","","NA","UnauthOrized Occupancy"
"293001","","NA","Lse-Hot Springs"
"298401","","NA","Permit-Npr-a"
"298402","","NA","Lease-Npr-a"
"310070","","NA","O&g Kgs-Fpgp"
"310099","","NA","To Be Defined"
"310112","","NA","O&g Private Leases-Acq"
"310220","","NA","O&g Lessee Qual File"
"310771","","NA","O&g Exchange Lease - Pd"
"310781","","NA","O&g Renewal Lease - Pd"
"310911","","NA","O&g Lse Special Act-Row"
"311111","","NA","O&g Lse Noncomp Pub Land"
"311112","","NA","O&g Lse Noncomp Acq Land"
"311115","","NA","O&g Lse Sp Acts Nps/FS"
"311116","","NA","O&g Lse Sp Act Ffmc"
"311117","","NA","O&g Cl Iii Reinstatement"
"311120","","NA","O&g Lse Texas Relinq Act"
"311121","","NA","O&g Lse Noncomp Pd -1987"
"311122","","NA","O&g Lse Noncomp Acq-1987"
"311123","","NA","Og Lse Fut Int Nc Pd '87"
"311124","","NA","Og Lse Fut Int Nc Ac '87"
"311131","","NA","O&g Lse Future Int Nc-Pd"
"311132","","NA","O&g Lse Fut Int Nc-Acq"
"311211","","NA","O&g Lse Simo Public Land"
"311212","","NA","O&g Lse Simo Acq Land"
"312011","","NA","O&g Lse Comp Public"
"312012","","NA","O&g Lse Comp Acquired"
"312013","","NA","O&g Lse Comp GSA Land"
"312014","","NA","O&g Lse Comp Prot Lse"
"312021","","NA","O&g Lse Comp  Pd -1987"
"312022","","NA","O&g Lse Comp  Acq-1987"
"312023","","NA","Og Lse Futint Com Pd '87"
"312024","","NA","Og Lse Futint Com Ac '87"
"312081","","NA","O&g Lse Fut Int Comp-Pd"
"312082","","NA","O&g Lse Fut Int Comp-Acq"
"313140","","NA","O&g Npr-A Sale Files"
"313200","","NA","O&g Npr-A Comp Leases"
"313240","","NA","O&g Npr-A Qualifications"
"314011","","NA","O&g Lse Hydrocar Pub Lnd"
"314012","","NA","O&g Lse Hydrocar Acq Lnd"
"314088","","NA","O&g Apln Hydrocar Pub Ld"
"314089","","NA","O&g Apln Hydrocar Acq Ld"
"315100","","NA","O&g Geophys Expl-Excp Ak"
"315200","","NA","O&g Geophys Permit- Ak"
"318110","","NA","O&g Cmpns Rlty Agrmt"
"318120","","NA","O&g Cmpns Rlty Agrmt-Drn"
"318130","","NA","O&g Row Cmpns Rlty Agrmt"
"318210","","NA","O&g Exploratory Unit"
"318220","","NA","O&g Secondary Unit"
"318230","","NA","O&g Participating Area"
"318240","","NA","O&g Api/state Unit"
"318250","","NA","O&g Indian Expl Unit"
"318260","","NA","O&g Indian Secondary Un"
"318270","","NA","O&g Indian Part Area"
"318290","","NA","Subordinate State Agrmt"
"318291","","NA","Subordinate State Pa"
"318310","","NA","O&g Communitzation Agrmt"
"318320","","NA","O&g Indian Comm Agrmt"
"318330","","NA","Privately Acq Comm Agrmt"
"318410","","NA","O&g Gas Storage Agrmt"
"318510","","NA","O&g Development Contract"
"320070","","NA","Geo Kgra"
"320099","","NA","To Be Defined"
"320901","","NA","Geo Geophysical Expl"
"321000","84 Stat. 1566","December 24, 1970","Geo Lease (non-Competitive)"
"322000","","NA","Geo Lse (competitive)"
"325060","","NA","Geo Utilization Site"
"328110","","NA","Geo Cmpns Rlty Agrmt"
"328120","","NA","Geo Cmpns Rlty Agrmt-Drn"
"328200","","NA","Geo Unit Agreement"
"328210","","NA","Geo Subordinate Unit"
"328230","","NA","Geo Participating Area"
"328240","","NA","Geo State Unit"
"328300","","NA","Geo Communitzation Agrmt"
"328500","","NA","Geo Development Contract"
"340001","","NA","Coal Lease"
"341001","","NA","Coal Exploration License"
"341002","","NA","Coal Prospecting Permit"
"342001","","NA","Regional Coal Lse Comp"
"342504","","NA","Reg Comp Emerg/bypass"
"342505","","NA","Nonreg Comp Coal Lse-Lba"
"342506","","NA","Coal Lse Hardship"
"342701","","NA","Coal-S/e Surf Ownr Qual"
"343001","","NA","Coal Lse Pref Right"
"343101","","NA","Coal Sale Negotiated Row"
"343500","","NA","Coal Lse Exchange"
"343600","","NA","Coal Lse/lnd Ex-Al Vly F"
"344001","","NA","Coal License To Mine"
"347201","","NA","Category 5 Petitions"
"348001","","NA","Logical Mining Unit"
"350006","","NA","Known Leasing Area"
"350099","","NA","To Be Defined"
"350701","","NA","Prosp Pmt Frac/fut Int"
"350702","","NA","Lease Frac/future Int"
"350801","","NA","Mineral Lease Exchange"
"351201","","NA","Phosphate Prosp Permit"
"351301","","NA","Phosphate Pref Rgt Lse"
"351401","","NA","Phosphate Expl License"
"351501","","NA","Phosphate Comp Lse"
"351601","","NA","Phos Fringe Acre Nc Lse"
"351701","","NA","Phosphate Use Permit"
"352201","","NA","Sodium Prosp Permit"
"352301","","NA","Sodium Pref Rgt Lse"
"352401","","NA","Sodium Expl License"
"352501","","NA","Sodium Comp Lease"
"352601","","NA","Sodium Fringe Ac Nc Lse"
"352701","","NA","Sodium Use Permit"
"353201","","NA","Potassium Prosp Permit"
"353301","","NA","Potassium Pref Rgt Lse"
"353401","","NA","Potassium Expl Lic"
"353501","","NA","Potassium Comp Lse"
"353601","","NA","Pot Fringe Acre Nc Lse"
"354201","","NA","Sulphur Prosp Permit"
"354301","","NA","Sulphur Pref Rgt Lse"
"354401","","NA","Sulphur Expl License"
"354501","","NA","Sulphur Comp Lease"
"354601","","NA","Sulphur Fringe Nc Lease"
"355201","","NA","Gilsonite Prosp Permit"
"355301","","NA","Gilsonite Pref Rgt Lease"
"355401","","NA","Gilsonite Expl License"
"355501","","NA","Gilsonite Comp Lease"
"355601","","NA","Gilsonite Fringe Nc Lse"
"356001","","NA","Shasta NF"
"356002","","NA","N Lobato/anton Chica"
"356003","","NA","PD-NF Minnesota"
"356200","43 CFR 3562","Mineral Lease-Asphalt Oklahoma","Mineral Lease-Asphalt Oklahom"
"356201","","NA","Hardrock Prosp Pmt-Acq"
"356301","","NA","Hdr Pref Rgt Lse-Acq"
"356401","","NA","Hdr Comp Lease Acquired"
"356501","","NA","Hdr Nc Lease Acquired"
"356701","","NA","Hdr Dev Contract"
"357401","","NA","Asphalt-OKlahoma Comp"
"357501","","NA","Asphalt-OKlahoma Nc"
"358101","","NA","Au/si Pvt Land Grant"
"358201","","NA","Natl Park Service Areas"
"358301","","NA","Shasta-Trinity Units"
"358401","","NA","Res Min Pat LandCA"
"358501","","NA","White Mtns Natl Rec Area"
"358601","","NA","Sand And Gravel-Nevada"
"360050","","NA","Min Mat Disp- BIA Mou-AK"
"360099","","NA","To Be Defined"
"360211","","NA","Min Mat Expl Pmt-Surf"
"360212","","NA","Min Mat Expl Pmt - Min"
"360213","","NA","Min Mat Expl Pmt -All"
"360311","","NA","Min Mat Unaut Use - Surf"
"360312","","NA","Min Mat Unaut Use - Min"
"360313","","NA","Min Mat Unauth Use -All"
"360411","","NA","Community Pit -Surface"
"360412","","NA","Community Pit -Mineral"
"360413","","NA","Community Pit -All"
"360511","","NA","Common Use Area -Surface"
"360512","","NA","Common Use Area -Mineral"
"360513","","NA","Common Use Area -All"
"361111","","NA","Min Mat Negotiated -Surf"
"361112","","NA","Min Mat Negotiated -Min"
"361113","","NA","Min Mat Negotiated -All"
"361311","","NA","Min Mat Sale-Comp-surf"
"361312","","NA","Min Mat Sale-Comp-min"
"361313","","NA","Min Mat Sale-Comp-all"
"362000","","NA","Free UseMineral Mat"
"362111","","NA","Fup - Govt Subdiv -surf"
"362112","","NA","Fup - Govt Subdiv -min"
"362113","","NA","Fup - Govt Subdiv -all"
"362211","","NA","Fup -Non-profit Org-surf"
"362212","","NA","Fup -Non-profit Org-min"
"362213","","NA","Fup -Non-profit Org-all"
"362311","","NA","Fup -Petrified Wood-surf"
"362313","","NA","Fup -Petrified Wood-all"
"362913","","NA","Min Mat BLM Quarry"
"370099","","NA","To Be Defined"
"371000","69 Stat. 367","July 23, 1955","Multiple-Surface Use Pl-167"
"371100","","NA","Common Varieties"
"371200","","NA","Mining Claim Restriction"
"372000","","NA","Coal Land-Mine  Pl 357"
"373000","","NA","Mining In Pwrsite Pl-359"
"374000","","NA","Mult Min Dev Pl-585"
"380099","","January 1, 1999","To Be Defined"
"380210","","NA","Surface Mgt-PlanWld Rev"
"380901","","NA","Surface Mgt-Mining Ak"
"380910","","NA","Surface Mgt- Plan"
"380913","","NA","Surface Mgt- Notice"
"381401","","NA","Min Disp-Srha-noi"
"381402","","NA","Min Disp-Srha-plan"
"381410","39 Stat. 862","December 29, 1916","Min Disp-Shre Clmnt Bond"
"381600","","NA","Min Loc In Rec Wdl"
"382000","","NA","Special Mining Law Areas"
"384201","90 Stat. 90","October 21, 1976","Mc-Placer Claim"
"385100","","NA","Assesment Work-General"
"385220","","NA","Deferment Of Assmt Work"
"386000","Mineral Patent APLN","Part 3860","Mineral Patent Apln"
"386100","17 Stat. 91","May 10, 1872","Mineral Survey Apln"
"386200","14 Stat. 251","July 26, 1866","Mineral Patent-Lode"
"386201","17 Stat. 91","May 10, 1872","Mineral Patent Apln-Lode BLM"
"386202","17 Stat. 91","May 10, 1872","Min Pat Apln-Lode FS"
"386210","Chap. 6 Title 32","May 10, 1872","Lode Patent-Mineral Only"
"386300","15 Stat. 251","July 26, 1866","Mineral Patent-Placer"
"386301","17 Stat. 91","May 10, 1872","Mineral Patent Apln-Placer Bl"
"386302","17 Stat. 91","May 10, 1872","Mineral Patent Apln-Placer FS"
"386310","Chap. 6 Title 32","NA","Placer Patent-Minerals Only"
"386400","17 Stat. 91","May 10, 1872","Millsite Patent"
"386401","17 Stat. 91","May 10, 1872","Mineral Patent Apln-Millsite"
"386402","17 Stat. 91","May 10, 1872","Mineral Patent Apln-Millsite"
"386501","40 Stat. 297","October 2, 1917","Mineral Patent-Potassium"
"387100","","NA","Adverse Claims"
"387200","","NA","Protests & Contests"
"392001","","NA","Contest-Mult Use Con-BLM"
"392002","","NA","Contest-Mult Use Con-FS"
"392003","","NA","Contest - Reimbursable"
"393001","","NA","Contest-Private"
"400000","","NA","Range Management"
"400099","","NA","To Be Defined"
"410030","","NA","Inside Grazing Districts"
"410050","","NA","Outside Grazing District"
"411070","48 Stat. 1269","June 28, 1934","L.u. Project Lands"
"415000","","NA","UnauthOrized Grazing Use"
"420000","","NA","Alaska Livestock Grazing"
"430000","","NA","Alaska Reindeer Grazing"
"470000","","NA","Wild Horses And Burros"
"540001","","NA","Forest Product Sales Pd"
"540002","","NA","AK Small Timber Sales"
"540003","","NA","Forest Product Sales-O&C"
"551000","","NA","Free UseTimber"
"622000","","NA","Prot & Pres Natural Valu"
"622400","","NA","Viable Coral Communities"
"652500","","NA","Sikes Act(coop Agrmt)"
"810000","","NA","Cultural Resource Mgt"
"811001","","NA","Cult Res Id-Sites/trails"
"815100","","NA","Cultural Res UsePermit"
"820000","","NA","Natural History Res Mgt"
"822300","","NA","Research Natural Areas"
"827000","","NA","Paleontology Res Mgt"
"830000","","NA","Recreation Management"
"834000","","NA","Off-Road Vehicles"
"835001","","NA","Desig Natl AR-W&SR"
"835002","","NA","Desig Natl AR-Natl Trail"
"835100","","NA","Designated National Area"
"835200","","NA","Established Area"
"836000","","NA","Recreation Operations"
"837000","","NA","Recreation Use Authorize"
"850010","","NA","Wilderness BLM Wsa"
"850040","","NA","Wilderness FS Rare Ii"
"918000","","NA","Cadastral Survey"
"918300","","NA","Special Surveys"
"920000","","NA","Protection"
"923000","","NA","Trespass"
"923099","","NA","To Be Defined"
"923514","","NA","Trespass-Leaseable Min"
"923515","","NA","Trespass-Saleable Min"
"923907","","NA","Trespass-Gravel"
"923910","","NA","Trespass-Timber"
"923911","","NA","Fire Trespass"
"923930","","NA","Trespass-Grazing Alaska"
"923950","","NA","Trespass-Minerals"
"923951","","NA","Trespass-Ore Minerals"
"923952","","NA","Trespass-Oil"
"923953","","NA","Trespass-Coal"
"923961","","NA","Trespass-Turentine"
"923990","","NA","Trespass-Off-Road-Vehicl"
"999999","","January 1, 1999","No Authority Available"
