authority_code,statutory_ref,act_treaty,entry_class
"250006","5 Stat. 502","August 4, 1842","Armed Occupation Act"
"251101","12 Stat. 392","May 20, 1862","Homestead EntryOriginal"
"251102","33 Stat. 527","April 28, 1904","Homestead Entry-Adjoining"
"251103","34 Stat. 233","June 11, 1906","Homestead Entry-Forest"
"251104","39 Stat. 862","December 29, 1916","Homestead Entry-Stock Raising"
"251105","17 Stat. 605","March 3, 1873","Timber Culture"
"251199","","NA","To Be Defined-Homestead"
"251400","35 Stat. 639","February 19, 1909","Homestead Entry-Enlarged"
"251500","32 Stat. 388","June 17, 1902","Homestead-Reclamation"
"252000","19 Stat. 377","March 3, 1877","Desert Land Act"
"252400","34 Stat. 519","June 27, 1906","Desert Land Entry-Rec Project"
"252800","41 Stat. 293","October 22, 1919","Desert Land Reclamation-NV"
"253000","24 Stat. 388","February 8, 1887","Indian Allotment - General"
"253001","53 Stat. 1128","July 27, 1939","Indian Trust Patent (Wind R)"
"253002","5 Stat. 513","August 23, 1842","Choctaw Scrip"
"253003","","October 20, 1832","CHICKASAW TREATY-PONTOTOC"
"253010","36 Stat. 855","June 25, 1910","Indian Fee Patent (Heir)"
"253020","34 Stat. 182","May 8, 1906","Indian Fee Patent (Non-IRA)"
"253030","48 Stat. 984","June 13, 1934","Indian Fee Patent (IRA)"
"253040","25 CFR 152.6","Indian Fee Patent-Term or Non","Indian Fee Patent-Term or Non"
"253050","39 Stat. 123","May 18, 1916","Indian Partition"
"253060","Various Statutes","May 29, 1908","Indian Fee Patent-Misc."
"253070","10 Stat. 308","July 22, 1954","Pueblo/Town Land Claim"
"253099","","January 1, 1999","To Be Defined"
"253300","36 Stat. 855","June 25, 1910","Indian Allotment in Nat. Forest"
"253310","33 Stat. 519","April 28, 1904","Indian Allotment-Wyandotte"
"253400","21 Stat. 199","June 15, 1880","Indian Trust Patent"
"253401","33 Stat. 297","April 23, 1904","Indian Reissue Trust"
"253410","12 Stat. 392","May 20, 1862","Indian Homestead Trust"
"253500","14 Stat. 703","October 14, 1865","Indian Fee Patent"
"253501","32 Stat. 245","May 27, 1902","Indian Trust to Fee"
"253502","25 CFR 152.5","June 17, 1948","Mineral Only Indian Fee Patent"
"253510","12 Stat. 392","May 20, 1862","Indian Homestead Fee Patent"
"253600","9 Stat. 323","August 14, 1848","Indian Mission Patent"
"253610","","April 12, 1864","Old Crossing Treaty"
"254000","45 Stat. 1069","December 22, 1928","Cot-Color of Title"
